PartitionKey,RowKey,Longitude,Latitude
"108A, IP Extension, I.P.Extension, Patparganj, Delhi, 110092, India","max super specialty hospital blood bank, patparganj, road number 57a, indraprastha extension, preet vihar tehsil, east delhi district, delhi, 110092, india",77.309,28.633
"11, Sri Nivas Shankar Colony, Annaram, Nagole, Hyderabad, Telangana 500068, India","ritesh, nagarjuna nagar, ward 11 nagole, greater hyderabad municipal corporation east zone, hyderabad, saroornagar mandal, ranga reddy district, telangana, 500963, india",78.58,17.369
"11-300 Gmina Biskupiec (Biskupiec-Kolonia Pierwsza), Polska","biskupiec, gmina biskupiec, powiat olsztyński, województwo warmińsko-mazurskie, 11-300, polska",20.956,53.864
"1100 Vienna, Austria","favoriten, vienna, 1100, austria",16.379,48.173
"111, Dargah Sharif, Khadim Mohalla, Diggi Bazaar, Ajmer, Rajasthan 305001, India","dargah-e-khawaja garib nawaz hazrat moinuddin chishti (rah) - ajmer sharif, ajmer, rajasthan, nh58, ajmer, ajmer tehsil, ajmer district, rajasthan, 305001, india",74.628,26.456
"11100, Ciudad de México, Ciudad de México, México","colonia lomas de virreyes, mexico city, miguel hidalgo, mexico city, 11000, mexico",-99.215,19.408
"11300 Smederevo, Serbia","smederevo, city of smederevo, podunavlje administrative district, central serbia, 11300, serbia",20.947,44.635
"1158 Gong Yuan Dong Lu, Qing Pu Qu, Shang Hai Shi, China, 201700","中山医院, 华浦路, 夏阳街道, 青浦区, 上海市, 201700, 中国",121.136,31.155
"116, Ganesh Nagar, Azamshah Layout, Nagpur, Maharashtra 440024, India","mahila maha vidyalaya, nandanvan main road, nandanvan, mahal, nagpur urban taluka, नागपुर जिला, maharashtra, 440009, india",79.117,21.135
"12000 Butterworth, Pulau Pinang, Malaysia","butterworth, north seberang perai district, seberang perai, penang, 12000, malaysia",100.368,5.401
"12000 Požarevac, Serbia","пожаревац, градска општина пожаревац, град пожаревац, bezirk braničevo, zentralserbien, 12000, serbien",21.188,44.62
"12000 Požarevac, Srbija","požarevac, pozarevac urban municipality, city of pozarevac, branicevo administrative district, central serbia, 12000, serbia",21.162,44.627
"12900, Montevideo, Uruguay","sayago, montevideo, 12900, uruguay",-56.22,-34.832
"13-300 Nowe Miasto Lubawskie (Bratian), Polska","nowe miasto lubawskie, powiat nowomiejski, województwo warmińsko-mazurskie, 13-300, polska",19.595,53.425
"13-6-769, Om Shanti Nagar, Karwan Sahu, Karwan East, Hyderabad, Telangana 500264, India","sri sai surya high school, municipal corporation hyderabad colony, jiyaguda, karwan sahu, karwan, hyderabad, telangana 500006, karvan road, joshi wadi, ward 62 ziaguda, greater hyderabad municipal corporation central zone, hyderabad, asif nagar mandal, హైదరాబాదు, telangana, 500006, india",78.442,17.371
"1300 Kumanovo, North Macedonia","kumanovo, municipality of kumanovo, northeastern region, 1300, north macedonia",21.676,42.026
"1357 Copenhagen, Denmark","copenhagen, copenhagen municipality, capital region of denmark, 1357, denmark",12.571,55.69
"13700 Permatang Pauh, Pulau Pinang, Malaysia","seberang jaya, permatang pauh, central seberang perai district, seberang perai, penang, 13700, malaysia",100.411,5.383
"138, Acharya Jagdish Chandra Bose Rd, Sealdah, Raja Bazar, Kolkata, West Bengal 700014, India","nil ratan sircar medical college and hospital, dixon lane, chandni chowk east, kolkata, kolkata district, west bengal, 700009, india",88.371,22.564
"138, Acharya Jagdish Chandra Bose Rd, Sealdah, Raja Bazar, Kolkata, West Bengal 700014, India","nil ratan sircar medical college and hospital, parikshit roy lane, sealdah, kolkata, কলকাতা, west bengal, 700009, india",88.371,22.564
"138, Acharya Jagdish Chandra Bose Rd, Sealdah, Raja Bazar, Kolkata, West Bengal 700014, India","nil ratan sircar medical college and hospital, parikshit roy lane, শিয়ালদা, kolkata, কলকাতা, west bengal, 700009, india",88.371,22.564
"14 New Lahore – Kasur Rd, Abu Bakar Block Garden Town, Lahore, Punjab, Pakistan","hameed latif , firozpur road, abu bakar block, muslim town, model town tehsil, lahore district, lahore division, punjab, 57760, pakistan",74.328,31.512
"14, Manik Bagh Rd, Choitram compound, Indore, Madhya Pradesh 452014, India","choithram hospital and research centre, 14, manikbagh square, indore city, indore, juni indore tahsil, indore district, madhya pradesh, 452010, india",75.854,22.688
"14-300 Morąg Gmina (Raj), Polska","raj, gmina morąg, powiat ostródzki, województwo warmińsko-mazurskie, 14-300, polska",19.923,53.919
"14000 Bukit Mertajam, Pulau Pinang, Malaysia","bukit mertajam, central seberang perai district, seberang perai, penang, 14000, malaysia",100.439,5.366
"1430 Kavadarci, Severna Makedonija","kavadarci, municipality of kavadarci, vardar region, 1430, north macedonia",21.947,41.529
